Question	Answer
溶晶期需要多久？什么时候可以把结晶溶解完？	要将体内的尿酸结晶融解完，是有一个大概时间计算公式的。痛风要降到 360 以下，有痛风石 300 以下。还要预留 30 左右给身体波动，330/270 以下。控痛龄的三分之一时间来计算，不够半年的，最少花半年。例如痛风三年的，最少花一年。痛一年的或几个月或第一次刚痛的，最少花半年，溶解完还要用剧烈运动来测试关节，吃一些高嘌呤也没有任何不适，并建议多巩固几个月。出自白衣阿木《痛风诊疗一本通》。所以尿酸治疗一定要“不急、不躁，持之以恒。这属于老百姓的经验，没有正式资料。这个时间只是大概，不严谨因为有些风友之前啥时候高尿酸析出结晶了不知道，即便是溶解完也要终身保持 360 以下最好，只是溶解完之后能卡刚好 360-380 以下，不超过 380，尿酸超过 381 就有可能痛风，也可以理解为终身不超过 420 预留出来给身体波动不超过 380。全球各国指南痛风患者保持长期 360 以下，文献出处《实用痛风病学第 39 页》辅助检查有关节超声、双源 CT，但不可能花大几千块扫全身双源CT 来确定，而且小的结晶也看不到。——下面粘贴一风友“痛风吧友-神经科谢主任”自述溶晶自身感受，非常有代表性，仅供参考因为每个人处于阶段不一样。溶晶期其实就是 5 个大循环！很多风友不知道自己在吃了降酸药之后到底多久能度过溶晶期，我个人把溶晶期理解为 5 个大循环。（1） 第一大循环：初期服用降酸药得风友做好心理准备，正式进入溶晶痛阶段，由于初期服用降酸药会导致你体内得尿酸急速下降，引发一个急性痛风发作得症状，所以降酸药要小剂量递增，减量避免痛风发作，并且疼痛感会比之前没有吃降酸药时更强，往往这个时候新人风友就会产生误解，认为吃降酸药反而更痛了，吃降酸药没用这种错误得误解，其实不然。由于尿酸波动太大就会引起之前沉积在你关节里得尿酸盐结晶波动掉落，引起一个急性痛风发作得症状，这是正常现象，记得每天一颗降酸药得同时搭配秋水仙碱一颗预防作用，可以连续 3-6 个月（各国指南都推荐）第一大循环根据个人体质持续时间 1-2 个月。（2） 第二大循环：在我们吃了 1 个月降酸药之后我们成功进入第二大循环，这个时候我们会发现只要之前痛风发作过得部位都会轮流痛一遍，大拇指痛过了，脚背开始痛，脚背缓解了脚裸痛，甚至从来没有发作过的部位也开始痛了！疼痛感和之前没吃降酸时疼感一样，也是非常的痛苦，这其实是你的身体已经习惯了降酸药的药效，可以理解为降酸药在对你的身体进行一个全方位的扫描，当你的身体多个部位都在痛的时候其实说明降酸药在你全身都起作用了，只要有结晶堆积的地方都会痛，正常现象，治疗方法和第一大循环一样，降酸药搭配止痛消炎药一起吃，减少痛感，第二大循环根据个人体质不同持续时间 1-2 个月。（3）  第三大循环：这个时候我们进入一个溶晶期中期阶段，第三大循环是持续时间最长的一个循环，需要大家提前做好心理准备，在经历过第二大循环之后我们就知道了我们体内哪些地方有结晶，因为都挨个痛了一遍，当所有能痛的部位都痛过一遍之后，我们要进入一个短期间歇期，这个间歇期持续时间一般一个星期到半个月不等，间歇期不会有急性痛风的症状发作，但是之前痛过的部位会产生隐痛，可以理解为坐着睡着不动的状态下一点不痛，一走路就隐痛刺痛，但是痛感可以忍受，行动受限，走路都是一瘸一拐的，间歇期过后第二轮全身急性发作来了，再次开始新一轮全身大扫描，但是疼痛感会明显减轻，持续时间会缩短一半，比如之前一轮全身急性发作半个月左右才缓解，这次可能一个星期左右就能再次进入间歇期，这样的小循环会持续 4-5 次，所以第三大循环根据个人体质不同持续时间 2-4 个月 。（4） 第四大循环：恭喜你快要见到阳光了！这个阶段可以说非常轻松了，在持续服用降酸药的情况下，急性痛风发作的症状开始大幅度改善，即使发作疼感也能忍受了，甚至可以不吃止痛药也能忍受了，持续周期非常短，往往上午发作第二天就消失了，关节开始变得灵活，但是还是存在隐痛现象，只是这种隐痛就非常轻了，可能走两步或者坐下休息一会这种隐痛感就消失了，进入第四大循环得风友几乎行动和正常人没有区别了，出门工作都不在受影响，但是还是避免不要过量运动，因为这个时候你个关节才初期恢复，依然是很脆弱得，千万不能在这个时候让之前发作过得关节受外伤，会很容易引起急性痛风的发作！第四大循环理解为关节恢复期！持续时间根据个人体质 1-2 个月 。（5） 第五大循环：溶晶期快结束！尿酸盐结晶已溶解 80％，只要尿酸稳定就不会增加新的结晶体，即使体内还存在少部分结晶粘附于关节内也不具备引起急性痛风发作的必要条件，到这里可以说溶晶期就结束了，我们现在需要做的就是日常对于身体的维护和保养，在关节已经恢复得状态下积极户外锻炼减轻体重，每天还是坚持保持长期健康生活方式，通过这次人生得大起大落要认识到健康得重要性，养成一个良好得作息时间，不暴饮暴食，定期体检常年保持在 360 以下，那么以后急性痛风就不会在发作了。感谢大家阅读，我是房寻仙，痛风快好的一位风友，以下资料会持续更新，所有内容，经过风友实践和大量文献资料总结而来，供参考。科普不代表治病，不代替治疗，仅供学习参考，如有身体不适请到三甲医院面诊！遵医嘱。感谢痛风快好 APP 提供那么好的科普平台！感谢为痛风治疗指南付出的所有医务人员~以及科普人！感谢痛风快好 APP 交流群内大量的风友！本篇是《痛风大全》2，发作与溶晶痛篇以下文章持续更新......感谢关注，也感谢传播科普！《痛风大全》1，体检篇-已更新《痛风大全》2，发作与溶晶痛篇《痛风大全》3，防治篇《痛风大全》4，生活干预与饮食起居篇《痛风大全》5，碱化尿液与肾结石篇-已更新《痛风大全》6，降酸药篇-已更新《痛风大全》7，脂肪肝篇《痛风大全》8，中医中药篇《痛风大全》9，报告解读篇参考文献：《2019 中国高尿酸血症与痛风诊疗指南》《2021 痛风基层合理用药指南》《实用痛风病学》为方便查阅，《痛风大全》完整版发布于痛风快好 app、痛风快好微信小程序（痛风专栏）声明：著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。感谢阅读，我是房寻仙。
痛风做什么检查？	查阅《痛风大全之体检篇》
痛风怎么确诊？	痛风诊断广泛认可的是美国风湿病学会 1977 年痛风分类标准及2015 年美国风湿病学会和欧洲抗风湿病联盟共同制定的痛风分类标准（表 1）。2018 年欧洲抗风湿病联盟推荐三步诊断痛风：第一步，寻找关节滑液或痛风石抽吸物中的 MSU 晶体。如果第一步不可行，第二步通过临床诊断[建立在存在高尿酸血症和痛风相关临床特征的基础上，满足下列特征时考虑临床诊断（高度怀疑但非特异性表现）：足部（特别是第一跖趾关节）或踝关节单关节受累，之前类似的急性关节炎发作史，快速开始的剧烈疼痛和肿胀（24 h 内达峰），皮肤发红，男性并存在相关的心血管疾病和高尿酸血症]。第三步，当痛风的临床诊断不确定且不能证实晶体时，建议寻找 MSU 晶体沉积的影像学证据，特别是超声或双能 CT，另外秋水仙碱是治疗痛风的特效药，吃了有缓解可以帮助诊断。秋水仙碱对焦磷酸钙关节炎也有效果，但老年人多见。
痛风发作时候尿酸比较低？	国内外多个研究结果发现，痛风发作期 36%-67%患者血尿酸水平处于正常范围或低平常低，痛风在急性发作时，炎症因子会促进下丘脑-垂体-肾上腺轴分泌，促肾上腺皮质激素释放，这种激素会增加尿酸的排泄，所以发作期过两周左右复查尿酸相对准确。
痛风怎么鉴别，避免误诊?	痛风不难鉴别，常需要鉴别的疾病如下：蜂窝织炎蜂窝织炎是指皮肤和皮下疏松结缔组织的弥漫性感染。急性蜂窝织炎病变局部红、肿、热、痛，并向周围迅速扩大。最常见于肢体远端，当关节附近受累时需与痛风性关节炎相鉴别。局部皮下软组织肿胀明显，但关节肿胀疼痛不明显，关节常无压痛。化验可见白细胞计数升高而血尿酸正常，受累部位抽取脓液进行细菌培养，阳性结果有助于诊断。抗生素治疗有效，单纯常规消炎止痛效果不佳。丹毒丹毒是乙型溶血性链球菌感染皮肤和皮下组织内淋巴管而引起的急性炎症，可发生在小腿、踝关节、跖趾关节等部位，故需与痛风性关节炎相鉴别。丹毒常表现为局部软组织肿胀，沿淋巴管走行，而关节疼痛常不明显。化验可见白细胞计数升高而血尿酸正常，伤口及破损处的拭子革兰氏染色和细菌培养有助于明确诊断，一般需要抗生素治疗。化脓性关节炎化脓性关节炎为关节内化脓性感染，单关节受累多见，以髋、膝关节多发，常需与痛风性关节炎相鉴别。化脓性关节炎常起病较急，常有寒战、高热等全身感染中毒症状。累及关节常局部红肿热痛明显，关节活动受限明显。关节液常为脓性，显微镜下无尿酸盐结晶，可见大量脓细胞，涂片做革兰染色常见革兰阳性球菌。关节液培养可见致病菌，以金黄色葡萄球菌常见。需注意的是，痛风性关节炎可与化脓性关节炎同时存在，故对于怀疑痛风性关节炎合并化脓性关节炎的患者，除检测关节腔积液尿酸盐晶体外，还需完善关节液革兰染色及细菌培养等病原学检查。风湿热风湿热是一种由咽喉部感染 A 组乙型溶血性链球菌后反复发作的急性或慢性全身结缔组织炎症。风湿热累及关节时需与痛风性关节炎相鉴别。风湿热起病急骤，常表现为游走性、多发性关节炎，以膝、踝、腕、肘、肩等大关节受累为主，局部关节可有红、肿、热、痛，但不遗留关节畸形。关节肿痛常反复发作，可在气候变冷或阴雨天时出现或加重。风湿热常伴有发热、皮疹、皮下结节、心肌炎等表现，咽拭子培养链球菌阳性，抗链球菌溶血素“O”（ASO）阳性，抗链球菌治疗有效等可辅助鉴别。结核性风湿症结核性风湿症，又称 Poncet 综合征，是由结核杆菌毒素引起的细胞介导的过敏性免疫反应。临床上多表现为发热、游走性多关节炎、结节性红斑等，常有原发结核病灶，关节症状常反复发作，但不出现关节变形和肌肉萎缩，可出现血沉（ESR）增快、类风湿因子阴性、结核菌素试验阳性，抗结核治疗有效。创伤性关节炎创伤性关节炎是由创伤引起的关节软骨病变，以关节疼痛、功能活动障碍为主要表现。当痛风性关节炎急性发作有劳累或扭伤等诱因时，常与创伤性关节炎相混淆。创伤性关节炎常有明确外伤史，常伴关节功能障碍，关节疼痛，活动时加剧，休息后好转。化验血尿酸不高，关节液无尿酸盐结晶。反应性关节炎反应性关节炎是一种发生于某些特定部位（如肠道和泌尿生殖道）感染之后出现的关节炎，常表现为非对称性下肢大关节炎，故需与痛风性关节炎相鉴别。反应性关节炎常出现在尿道或肠道感染后 1~6 周，急性发病，多为单关节炎或少关节炎，主要累及膝、踝等下肢大关节。受累关节可表现为肿胀疼痛、局部皮温高，常伴有肌腱端炎、眼炎，急性期常有 ESR、超敏 C 反应蛋白（CRP）升高，人类白细胞抗原 B27（HLA-B27）可呈阳性，类风湿因子和抗核抗体阴性，放射学检查有助于协助诊断。强直性脊柱炎强直性脊柱炎是一种慢性免疫炎性疾病，主要侵犯骶髂关节、脊柱骨突、脊柱旁软组织及外周关节。本病多见于青壮年男性，外周关节受累以非对称性的下肢大关节炎为主，需与痛风性关节炎相鉴别。强直性脊柱炎与肥胖无相关，发病隐匿，临床表现为腰背部或骶髂部疼痛和晨僵，常有半夜痛醒，翻身困难，活动后减轻。可有阳性家族史，人类白细胞抗原 HLA-B27 阳性，血清类风湿因子阴性，血尿酸正常，影像学 X 线或 MRI 可见骶髂关节病变，可辅助鉴别。类风湿关节炎类风湿关节炎是一种以侵蚀性关节炎为主要临床表现的自身免疫病，临床症状为对称性、持续性关节肿胀疼痛，伴晨僵时间大于 1h，以手部和足趾小关节受累最多见。实验室检查可有 ESR、CRP 及类风湿因子增高，常有抗环瓜氨酸肽抗体、抗角蛋白抗体阳性，双手双足 X 线早期表现为关节周围软组织肿胀。常见于中老年女性，男性患者症状可不典型。反复发作或者慢性痛风性关节炎急性发作的患者需与类风湿关节炎鉴别。假性痛风假性痛风是焦磷酸钙结晶沉积于关节软骨所致的疾病，急性期以急性自限性滑膜炎为特征，秋水仙碱治疗有效。多见于老年人，常急性起病。常见于大关节，偶尔累及指、趾小关节，常为单个关节急性发作，手术和外伤可诱发，但很少像痛风性关节炎那样侵犯第一跖趾。查血尿酸不高，主要鉴别方法依靠关节滑液检测，可发现焦磷酸钙结晶而非尿酸盐结晶。骨关节炎骨关节炎是以关节软骨的变性、破坏及骨质增生为特征的慢性关节病，本病老年患者多发，主要累及负重关节，如膝、髋关节。本病急性加重时可出现关节疼痛、肿胀，但一般不明显。活动受限，伴有晨僵，但时间一般不超过半小时。查 ESR 多正常或偏高，类风湿因子阴性，化验血尿酸可正常，影像学检查有助于诊断且与痛风相鉴别。但临床上痛风性关节炎和骨关节炎可合并发生。多数痛风患者易鉴别，但部分患者临床表现不典型者，应严格认真鉴别，排除相似疾病，避免误诊误治。来源《医学界风湿与肾病频道陈新鹏》
哪些些因素会引发痛风急性发作？	1、尿酸突然升高：暴饮暴食，尤其是食入动物内脏、带壳类海鲜、火锅等高嘌呤食物，同时大量饮酒；2、尿酸突然降低：最常见就是初次大量使用降尿酸药；3、关节着凉：关节着凉，尿酸在低温下更容易形成结晶；4、关节外伤：尿酸容易在受伤的关节沉积；5、剧烈运动后肌溶解。其中，饮酒后着凉是生活中最常见诱因。7，为什么有外伤容易发作关节局部损伤，可能导致关节液中白细胞数升高，血尿酸可通过刺激白细胞产生炎症因子而诱发痛风发作。比如跖趾关节、踝关节承受压力大，容易损伤，此外足部血液循环较差，皮温较低，关节液 pH 低，尿酸容易在足部关节形成结晶，导致痛风发作。
痛风发作怎么处理?	查阅《痛风大全》2，发作与溶晶痛篇
痛风有什么危害?	"尿酸结晶因为血脑清障无法进入大脑之外，在身体几乎任何地方结晶沉积，除了可引发痛风关节炎（也就是痛风发作），痛风石，还可在肾脏沉积引发急性肾病、慢性间质性肾炎或肾结石，称之为尿酸性肾病。许多证据表明，尿酸症和痛风是慢性肾病，高血压，脑血管疾病及糖尿病等疾病的独立危险因素，是过早死亡的独立预测因子，尿酸血症和痛风是多系统受累的全身性疾病。未经治疗的痛风患者，17%-25%死于尿毒症。证据显示，血尿酸每增加 60μmol/L，高血压发病相对危险增加 1.4 倍。血尿酸水平每升高 60μmol/L，新发糖尿病的风险增加 17%。降尿酸治疗可降低高尿酸血症人群糖尿病的发病率，并能降低肾脏、心血管等并发症的发生率。10，痛风有几个阶段高尿酸从来没痛过属于高尿酸血症，发作过属于痛风患者间歇期。1，高尿酸血症期，也称""痛风前期""，仅仅表现为血尿酸的升高，而无痛风性关节炎的临床状。2，痛风早期由高尿酸血症发展而来，典型的症状是急性痛风性关节炎的发作，如关节红、肿、热、痛和活动障碍，待发作消失后，关节可完全恢复正常，且无功能障碍。但是，这会反复发作。在这个阶段一般不会有痛风石的形成，亦无明显的肾脏病变。肾功能也是正常的。3，痛风中期由于反复发作，造成关节出现不同程度的骨质破坏及功能障碍，形成慢性痛风性关节炎。痛风石、肾结石和肾脏病变都有可能出现，而且肾功能可有轻度减退。4，痛风晚期明显的关节畸形和功能障碍。皮下痛风石增多、体积增大，甚至出现破溃。肾脏损害进一步加重，肾功能明显减退，可出现氮质血症和尿毒症。需要说明的是，这是典型的痛风，如不进行治疗或治疗不当有此 4 个发展阶段痛风治疗过程，早控制尿酸达标定期其体检不会进一步发展。也可以粗略分为六个阶梯从高尿酸发展到痛风共分 6 个阶段：第一阶梯：尿酸 420-480（不痛）第二阶梯：尿酸 480-540（不痛）第三个阶梯：尿酸 540 以上第四个阶梯：痛风初期，以小关节痛为特症第五阶梯：痛风中期，以痛到大关节开始计算，例如踝关节、膝关节、手腕、手肘、肩膀等，也可伴随个别痛风有，肾功能不全 1-2 期第六阶段：痛风晚期，大量失控的痛风石、痛风石溃烂，肾功能不全3-5 期，尿毒症。如何预防高尿酸血症饮食有节，起居有常，控制体重，做好体检。二，治疗痛风建议（文章不能代替医生诊断和治疗，身体不适请到三甲医院面诊，请遵医嘱）急性期（发作期）镇痛，间歇期控制尿酸并定期体检（一）非药物治疗痛风非药物治疗的总体原则是生活方式的管理，首先是饮食控制、减少饮酒、运动、肥胖者减轻体重等；其次是控制痛风相关伴发病及危险因素，如高脂血症、高血压、高血糖、肥胖和吸烟。饮食方面需限制高嘌呤的动物性食品，如动物内脏、贝壳和沙丁鱼等。除了酒类，含有高果糖浆的饮料也会导致血尿酸水平升高，应减少摄入量。需强调的是，饮食控制不能代替降尿酸药物治疗。1. 药物治疗根据《2019 中国高尿酸血症与痛风诊疗指南》降尿酸治疗指征;1，痛风发作并尿酸 480 以上2，尿酸 420-480 且合并以下情况，痛风发作次数≥2 次/年、痛风石、慢性肾脏疾病、高血压、糖尿病、血脂异常、脑卒中、缺血性心脏病、心力衰竭和发病年龄<40 岁3，无症状高尿酸 540 以上4，无症状高尿酸 480 以上合并症之一:高血压、脂代谢异常、糖尿病、肥胖、脑卒中、冠心病、心功能不全、肾功能损害(≥CKD2 期)5，存在高尿酸血症，关节的“超声、双能 CT、x 线”，发现尿酸钠结晶沉积和痛风性骨侵蚀，可作为亚临床痛风的诊断依据达到以上标准，生活干预 3 个月左右降不下来，就要长期降尿酸治疗。降尿酸治疗的时机：因血尿酸波动可导致痛风急性发作，大多数痛风指南均不建议在痛风急性发作期开始时使用降尿酸药物，须在抗炎、镇痛治疗 2 周后再酌情使用。也有一些国内外痛风指南提出，在足量抗炎、镇痛药应用下，允许在痛风急性期进行降尿酸治疗，如果在稳定的降尿酸治疗过程中出现痛风急性发作，则无须停用降尿酸药物，可同时进行抗炎、镇痛治疗。如果并发了痛风性滑膜炎一直难等到缓解可以小剂量一边镇痛，一边降尿酸治疗，总之缓解后比较稳。降尿酸治疗的目标和疗程：痛风患者降尿酸治疗目标为血尿酸<360，并长期维持；有痛风石降尿酸治疗目标为血尿酸<300 直至痛风石完全溶解且关节炎频繁发作症状改善，可将治疗目标改为血尿酸<360 并长期维持。因人体中正常范围的尿酸有其重要的生理功能，血尿酸过低可能增加阿尔茨海默病、帕金森病等神经退行性疾病的风险。因此建议，降尿酸治疗时血尿酸不低于 180。降尿酸药物请查阅《降酸药篇》无症状高尿酸血症的治疗无症状高尿酸血症患者的药物治疗各国观点不一，美国 ACR2020 第一句是反对，而亚洲国家如日本、中国多持积极态度。多项观察性研究结果显示，高尿酸血症与多种疾病的发生、发展相关。2019 年，Kojima 等的多中心前瞻性随机对照研究(FREED)显示，对无症状高尿酸血症患者进行非布司他干预能够显著降低心脑血管不良事件的发生率，并延缓肾功能不全的进展。无症状高尿酸血症降尿酸过程中也可能会痛风发作。预后本病预后相对良好，如果及早诊断并进行规范治疗，大多数患者可正常工作生活。慢性期病变有一定的可逆性，长期规范达标治疗可使痛风石缩小或消失，关节症状和功能改善，相关肾病也可减轻。伴发高血压、糖尿病、其他肾病及心血管疾病者预后欠佳。"
身体结晶什么时候能溶解完？	要将体内的尿酸结晶溶解完，有一个大概时间计算公式。痛风要降到360 以下，有痛风石 300 以下。推荐预留 10-30 左右给身体波动保证 360 以下，即是 330-350 以下，按痛龄的三分之一时间来计算，不够半年的，最少花半年。例如痛风九年的，最少花三年，痛一年的或几个月或第一次刚痛的，最少花半年，并多巩固几个月。溶解完还要用剧烈运动来测试关节，吃一些高嘌呤也没有任何不适，这属于老百姓总结经验，没有正式资料。所以尿酸治疗一定要“不急、不躁，持之以恒。这个时间只是大概，不严谨因为有些风友之前高尿酸析出结晶了不知道，即便是溶解完也要终身保持 360 以下最好。只是溶解完之后能卡刚好 360-380 以下，不超过 380，尿酸超过 381 就有可能痛风，也可以理解为终身不超过 420 预留出来给身体波动不超过 380，中外指南痛风患者保持长期 360 以下，节选《实用痛风病学 39 页》。辅助检查有关节超声、双源 CT，但不可能花大几千块扫全身双源 CT来确定，小的结晶也看不到。
停药过早会怎么样？	这个比较常见，有些风友降尿酸意志不坚，吃几个月不痛了就擅自停药了，停了尿酸超过 420 又会重新析出结晶，复发和并发症，所以降尿酸需要长期坚持。
尿酸不达标会怎么样？	没意义，假如频繁发作尿酸不达标，不能使结晶溶解，超过 420 还会产生结晶和复发，这个风友之间很常见，主要想法是怕加量以后减不了量，然而事实相反，需要尿酸达标不断排出晶体才能减量。
什么时候能停药？	当身体结晶溶解完，小剂量降酸药能维持，例如 10mg 非布司他每天单次能控制尿酸 240 可以停药观察，要是超过 420 还要继续吃，大部分需要终身服药。
